fundingTime,formulaType,fundingRate,instId,instType,method,realizedRate
2025-09-06 16:00:00,withRate,9.43263961208e-05,BTC-USDT-SWAP,SWAP,current_period,9.43263961208e-05
2025-09-07 00:00:00,withRate,5.63303988929e-05,BTC-USDT-SWAP,SWAP,current_period,5.63303988929e-05
2025-09-07 08:00:00,withRate,7.18048999039e-05,BTC-USDT-SWAP,SWAP,current_period,7.18048999039e-05
2025-09-07 16:00:00,withRate,5.7967828589e-05,BTC-USDT-SWAP,SWAP,current_period,5.7967828589e-05
2025-09-08 00:00:00,withRate,4.84715992901e-05,BTC-USDT-SWAP,SWAP,current_period,4.84715992901e-05
2025-09-08 08:00:00,withRate,1.58947402445e-05,BTC-USDT-SWAP,SWAP,current_period,1.58947402445e-05
2025-09-08 16:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-09-09 00:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-09-09 08:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-09-09 16:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-09-10 00:00:00,withRate,7.08087151652e-05,BTC-USDT-SWAP,SWAP,current_period,7.08087151652e-05
2025-09-10 08:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-09-10 16:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-09-11 00:00:00,withRate,2.853755477e-06,BTC-USDT-SWAP,SWAP,current_period,2.853755477e-06
2025-09-11 08:00:00,withRate,4.58342409572e-05,BTC-USDT-SWAP,SWAP,current_period,4.58342409572e-05
2025-09-11 16:00:00,withRate,5.20636832953e-05,BTC-USDT-SWAP,SWAP,current_period,5.20636832953e-05
2025-09-12 00:00:00,withRate,2.508049308e-05,BTC-USDT-SWAP,SWAP,current_period,2.508049308e-05
2025-09-12 08:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-09-12 16:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-09-13 00:00:00,withRate,1.1501912269e-05,BTC-USDT-SWAP,SWAP,current_period,1.1501912269e-05
2025-09-13 08:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-09-13 16:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-09-14 00:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-09-14 08:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-09-14 16:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-09-15 00:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-09-15 08:00:00,withRate,9.01101859163e-05,BTC-USDT-SWAP,SWAP,current_period,9.01101859163e-05
2025-09-15 16:00:00,withRate,-1.24198069316e-05,BTC-USDT-SWAP,SWAP,current_period,-1.24198069316e-05
2025-09-16 00:00:00,withRate,-9.1083321659e-06,BTC-USDT-SWAP,SWAP,current_period,-9.1083321659e-06
2025-09-16 08:00:00,withRate,8.00200923816e-05,BTC-USDT-SWAP,SWAP,current_period,8.00200923816e-05
2025-09-16 16:00:00,withRate,2.09199024356e-05,BTC-USDT-SWAP,SWAP,current_period,2.09199024356e-05
2025-09-17 00:00:00,withRate,9.83312646606e-05,BTC-USDT-SWAP,SWAP,current_period,9.83312646606e-05
2025-09-17 08:00:00,withRate,3.09550649311e-05,BTC-USDT-SWAP,SWAP,current_period,3.09550649311e-05
2025-09-17 16:00:00,withRate,8.14392305402e-05,BTC-USDT-SWAP,SWAP,current_period,8.14392305402e-05
2025-09-18 00:00:00,withRate,8.89292456984e-05,BTC-USDT-SWAP,SWAP,current_period,8.89292456984e-05
2025-09-18 08:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-09-18 16:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-09-19 00:00:00,withRate,4.61851699493e-05,BTC-USDT-SWAP,SWAP,current_period,4.61851699493e-05
2025-09-19 08:00:00,withRate,4.80113475217e-05,BTC-USDT-SWAP,SWAP,current_period,4.80113475217e-05
2025-09-19 16:00:00,withRate,7.84399069955e-05,BTC-USDT-SWAP,SWAP,current_period,7.84399069955e-05
2025-09-20 00:00:00,withRate,8.581228578e-06,BTC-USDT-SWAP,SWAP,current_period,8.581228578e-06
2025-09-20 08:00:00,withRate,-4.49908736e-06,BTC-USDT-SWAP,SWAP,current_period,-4.49908736e-06
2025-09-20 16:00:00,withRate,-8.3462481017e-06,BTC-USDT-SWAP,SWAP,current_period,-8.3462481017e-06
2025-09-21 00:00:00,withRate,-6.04751836386e-05,BTC-USDT-SWAP,SWAP,current_period,-6.04751836386e-05
2025-09-21 08:00:00,withRate,8.1557067236e-06,BTC-USDT-SWAP,SWAP,current_period,8.1557067236e-06
2025-09-21 16:00:00,withRate,4.64361467578e-05,BTC-USDT-SWAP,SWAP,current_period,4.64361467578e-05
2025-09-22 00:00:00,withRate,3.36085197974e-05,BTC-USDT-SWAP,SWAP,current_period,3.36085197974e-05
2025-09-22 08:00:00,withRate,-3.87172163687e-05,BTC-USDT-SWAP,SWAP,current_period,-3.87172163687e-05
2025-09-22 16:00:00,withRate,-1.0121974008e-06,BTC-USDT-SWAP,SWAP,current_period,-1.0121974008e-06
2025-09-23 00:00:00,withRate,7.9583959544e-05,BTC-USDT-SWAP,SWAP,current_period,7.9583959544e-05
2025-09-23 08:00:00,withRate,3.22190977896e-05,BTC-USDT-SWAP,SWAP,current_period,3.22190977896e-05
2025-09-23 16:00:00,withRate,-2.4000737162e-06,BTC-USDT-SWAP,SWAP,current_period,-2.4000737162e-06
2025-09-24 00:00:00,withRate,3.80389885397e-05,BTC-USDT-SWAP,SWAP,current_period,3.80389885397e-05
2025-09-24 08:00:00,withRate,3.21526554476e-05,BTC-USDT-SWAP,SWAP,current_period,3.21526554476e-05
2025-09-24 16:00:00,withRate,-1.38496700414e-05,BTC-USDT-SWAP,SWAP,current_period,-1.38496700414e-05
2025-09-25 00:00:00,withRate,-0.0001035366709803,BTC-USDT-SWAP,SWAP,current_period,-0.0001035366709803
2025-09-25 08:00:00,withRate,6.80220613905e-05,BTC-USDT-SWAP,SWAP,current_period,6.80220613905e-05
2025-09-25 16:00:00,withRate,6.6725642393e-05,BTC-USDT-SWAP,SWAP,current_period,6.6725642393e-05
2025-09-26 00:00:00,withRate,2.88955042256e-05,BTC-USDT-SWAP,SWAP,current_period,2.88955042256e-05
2025-09-26 08:00:00,withRate,-1.33862398617e-05,BTC-USDT-SWAP,SWAP,current_period,-1.33862398617e-05
2025-09-26 16:00:00,withRate,8.14539567679e-05,BTC-USDT-SWAP,SWAP,current_period,8.14539567679e-05
2025-09-27 00:00:00,withRate,9.2253893848e-06,BTC-USDT-SWAP,SWAP,current_period,9.2253893848e-06
2025-09-27 08:00:00,withRate,-2.3897271378e-05,BTC-USDT-SWAP,SWAP,current_period,-2.3897271378e-05
2025-09-27 16:00:00,withRate,1.96412930037e-05,BTC-USDT-SWAP,SWAP,current_period,1.96412930037e-05
2025-09-28 00:00:00,withRate,-5.0659947473e-05,BTC-USDT-SWAP,SWAP,current_period,-5.0659947473e-05
2025-09-28 08:00:00,withRate,3.37994508028e-05,BTC-USDT-SWAP,SWAP,current_period,3.37994508028e-05
2025-09-28 16:00:00,withRate,6.32676962919e-05,BTC-USDT-SWAP,SWAP,current_period,6.32676962919e-05
2025-09-29 00:00:00,withRate,-2.24166004983e-05,BTC-USDT-SWAP,SWAP,current_period,-2.24166004983e-05
2025-09-29 08:00:00,withRate,2.92853460455e-05,BTC-USDT-SWAP,SWAP,current_period,2.92853460455e-05
2025-09-29 16:00:00,withRate,2.18890230514e-05,BTC-USDT-SWAP,SWAP,current_period,2.18890230514e-05
2025-09-30 00:00:00,withRate,3.71049299537e-05,BTC-USDT-SWAP,SWAP,current_period,3.71049299537e-05
2025-09-30 08:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-09-30 16:00:00,withRate,4.35227821262e-05,BTC-USDT-SWAP,SWAP,current_period,4.35227821262e-05
